Domain,Phylum,Class,Order,Family,Genus,OTU.rep,TARA_018_DCM_0.22-1.6,TARA_018_SRF_0.22-1.6,TARA_023_DCM_0.22-1.6,TARA_023_SRF_0.22-1.6,TARA_025_DCM_0.22-1.6,TARA_025_SRF_0.22-1.6,TARA_030_DCM_0.22-1.6,TARA_030_SRF_0.22-1.6,TARA_031_SRF_0.22-1.6,TARA_032_DCM_0.22-1.6,TARA_032_SRF_0.22-1.6,TARA_033_SRF_0.22-1.6,TARA_034_DCM_0.22-1.6,TARA_034_SRF_0.22-1.6,TARA_036_DCM_0.22-1.6,TARA_036_SRF_0.22-1.6,TARA_037_MES_0.22-1.6,TARA_038_DCM_0.22-1.6,TARA_038_MES_0.22-1.6,TARA_038_SRF_0.22-1.6,TARA_039_DCM_0.22-1.6,TARA_039_MES_0.22-1.6,TARA_041_DCM_0.22-1.6,TARA_041_SRF_0.22-1.6,TARA_042_DCM_0.22-1.6,TARA_042_SRF_0.22-1.6,TARA_045_SRF_0.22-1.6,TARA_048_SRF_0.22-1.6,TARA_004_DCM_0.22-1.6,TARA_004_SRF_0.22-1.6,TARA_052_DCM_0.22-1.6,TARA_052_SRF_0.22-1.6,TARA_007_DCM_0.22-1.6,TARA_007_SRF_0.22-1.6,TARA_009_DCM_0.22-1.6,TARA_009_SRF_0.22-1.6,TARA_100_DCM_0.22-3,TARA_100_MES_0.22-3,TARA_100_SRF_0.22-3,TARA_102_DCM_0.22-3,TARA_102_MES_0.22-3,TARA_102_SRF_0.22-3,TARA_109_DCM_0.22-3,TARA_109_MES_0.22-3,TARA_109_SRF_0.22-3,TARA_110_DCM_0.22-3,TARA_110_MES_0.22-3,TARA_110_SRF_0.22-3,TARA_111_DCM_0.22-3,TARA_111_MES_0.22-3,TARA_111_SRF_0.22-3,TARA_112_DCM_0.22-3,TARA_112_MES_0.22-3,TARA_112_SRF_0.22-3,TARA_122_DCM_0.22-3,TARA_122_MES_0.22-3,TARA_122_SRF_0.22-3,TARA_123_SRF_0.22-3,TARA_124_SRF_0.22-3,TARA_125_SRF_0.22-3,TARA_128_DCM_0.22-3,TARA_128_SRF_0.22-3,TARA_132_DCM_0.22-3,TARA_132_MES_0.22-3,TARA_132_SRF_0.22-3,TARA_133_DCM_0.22-3,TARA_133_MES_0.22-3,TARA_133_SRF_0.22-3,TARA_137_DCM_0.22-3,TARA_137_MES_0.22-3,TARA_137_SRF_0.22-3,TARA_138_DCM_0.22-3,TARA_138_MES_0.22-3,TARA_138_SRF_0.22-3,TARA_140_SRF_0.22-3,TARA_141_SRF_0.22-3,TARA_142_DCM_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_DCM_0.22-3,TARA_150_SRF_0.22-3,TARA_151_DCM_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_056_MES_0.22-3,TARA_056_SRF_0.22-3,TARA_057_SRF_0.22-3,TARA_058_DCM_0.22-3,TARA_062_SRF_0.22-3,TARA_064_DCM_0.22-3,TARA_064_MES_0.22-3,TARA_064_SRF_0.22-3,TARA_065_DCM_0.22-3,TARA_065_MES_0.22-3,TARA_065_SRF_0.22-3,TARA_066_DCM_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_DCM_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_DCM_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_DCM_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_DCM_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_DCM_0.22-3,TARA_082_SRF_0.22-3,TARA_084_SRF_0.22-3,TARA_085_DCM_0.22-3,TARA_085_MES_0.22-3,TARA_085_SRF_0.22-3,TARA_093_DCM_0.22-3,TARA_093_SRF_0.22-3,TARA_094_SRF_0.22-3,TARA_096_SRF_0.22-3,TARA_098_DCM_0.22-3,TARA_098_MES_0.22-3,TARA_098_SRF_0.22-3,TARA_099_SRF_0.22-3
undef,undef,undef,undef,undef,undef,unclassified,4.400258788,3.976294877,4.021927511,3.670447967,4.819140375,2.987886339,4.46554706,3.508203574,3.057743098,8.709454363,4.509185806,3.096100299,11.86121852,4.380506438,2.359013268,1.410545507,19.54660825,3.960751108,12.86922909,2.832499819,3.136422426,18.21712359,7.201813227,2.339071672,5.886399718,2.272424977,1.911835555,1.50561104,4.144053531,2.992625433,3.421413758,3.13573448,3.235362304,3.849603039,4.167100631,3.331564842,4.367236025,6.549802229,2.651861528,4.387768727,4.24985385,2.82552802,3.044069113,5.407073862,2.821701094,4.341102139,4.851667104,3.375808114,4.599362836,5.471142772,3.585415201,6.771386916,9.014545455,3.696413678,6.721631452,5.619896648,3.110860252,7.522821,4.290250565,2.912455957,6.154753325,6.023545437,9.282340656,7.183961553,2.981547731,4.926562246,3.692038637,3.134454231,9.67261527,12.18165254,2.723247849,6.700580124,12.39265385,4.027473962,2.619781814,2.408983176,4.23485844,4.770851687,4.791447759,6.234682775,9.218222455,7.505032338,7.699139747,12.76188473,5.544967091,6.576973732,6.523436851,5.544038831,5.65673066,6.26187962,4.367526234,6.900499107,4.408578856,4.444583817,3.250181547,4.629703049,3.579481694,3.104117267,4.039371006,6.337058253,3.934766557,5.702584708,6.653111365,6.577126577,8.05633088,8.31971813,6.932742055,7.313034188,4.855226906,7.5754908,3.017558616,6.559100354,6.96467571,7.786530237,4.409426787,7.819153623,6.606588374,8.081895171,7.413347894,8.852302553,5.896593023,4.710398415,5.26570449,4.869567802,4.390430234,4.728832713,4.147903073,1.208198374,0.911905243,1.829139436,2.997119841,6.60666831,8.807279171,2.899933621,2.876147648
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY024102418.157.1623,0.880741859,1.008664941,0.661216186,1.252632746,0.527206322,0.91640523,1.297409615,0.716898317,0.662283554,1.145649987,0.99652429,0.686739861,0.404082628,0.466699526,0.294502291,0.415807066,0.128354838,0.754096728,0.14039822,0.549394796,1.099364562,0.109864841,0.552877057,1.119715878,1.051331805,1.408883023,1.028585194,1.374938074,0.575543588,1.07765243,1.554906675,1.279158647,0.296231421,1.532455886,0.234340825,1.838550382,0.628881988,0.171700827,1.942357936,0.363199359,0.115148187,1.164402924,1.700640652,0.156147868,1.596764553,0.862625022,0.414807036,1.203972641,0.790654923,0.152710831,2.321966638,0.839956732,0.123636364,1.276897415,0.892733343,0.336374648,1.297271289,0.671887308,1.900384098,1.187129748,1.219943655,1.026464293,0.44835746,0.160490872,1.591978912,0.113814969,0.103636172,0.166662204,0.263160122,0.162045808,1.493609556,0.456228318,0.184446957,1.035224644,0.414604441,0.734351323,0.900927806,0.126755246,0.826899356,0.097623478,0.23420039,0.128637279,0.862790875,0.239798065,0.767451907,0.125301822,0.625591945,0.61431894,0.663119248,0.554862244,0.397787359,0.102568799,0.551343154,0.248779621,1.144236619,0.687864251,1.042486025,0.765969677,1.033860801,0.109556453,1.096319918,1.000012878,0.105053586,1.13960114,0.553159097,0.53987242,0.036954915,0.366809117,0.078841122,0.334536491,0.047313637,0.633174429,0.761385722,0.355963402,0.579953451,0.474288567,0.072857217,0.550921833,0.717787712,0.118110236,0.580995337,0.0049531,0.002764875,0,0,0.030720955,0.001225378,0.173748901,0.191802948,2.128908543,2.402812907,0.724637681,0.132402863,2.04668658,1.890367039
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,KC003383.1.1321,2.326504205,1.930530821,0.514279256,0.169973765,2.151125601,0.313724313,1.071249834,0.128540077,1.786158675,0.703262509,1.347559497,0.379438201,0.167206605,0.211015957,0.017969631,0.015992579,0,0.322757384,0,0.439225919,0.808356295,0.002554996,0.644586521,1.134513885,0.853766096,0.8625188,1.507146298,1.295241924,0.973674469,1.66915412,1.338230894,2.124563714,1.133407177,0.331021022,0.583248276,0.479533118,1.287849379,0.004494786,0.636838668,0.84924556,0.003543021,0.485953128,0.714424384,0.000907836,0.47895174,0.614717471,0.167147983,0.547175115,1.41086392,0.001706266,0.765884284,1.949865964,0.016969697,1.354462052,0.735945049,0.162087266,0.814264432,0.042861777,0.632305836,0.370155264,0.732490336,0.997275735,0.879470402,0.012413659,1.168329881,0.578830416,0.005667603,1.198763085,0.001692348,0.000806198,0.735109849,0.986794158,0.007933202,1.325087544,0.39301046,0.102317027,0.418110142,0.000898973,0.455936772,0,0.001188834,0,0.101504809,0,0.18805113,0.000914612,0.101357526,1.152796036,1.317342994,0.303350293,0.944439925,0.000915793,0.81347487,0.197560287,1.560322663,0.782024343,0.895657007,0.738664942,0.809485735,0.006260369,1.080803433,0.106247344,0.001694413,0.118844119,0.104034509,0.099450183,0,1.883903134,0.002599158,1.502479678,0.002628535,1.581713727,0.753371135,0.567105192,0.956414463,0.776776012,0.006938783,0.926317408,0.883868546,0.100214746,1.491985832,0,0,0,0,0,0,0.013942813,0.131233596,0.848432669,0.722963786,2.298567163,0.00199102,0.594645425,1.132554702
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU394547.1.1451,0.521889152,0.680175394,1.917715319,1.035854611,1.139013268,0.583917501,0.753232438,0.209008256,0.198283682,0.634114911,0.314084133,0.343369931,0.708886334,0.234119894,0.245584961,0.284667914,0.195910017,0.584748717,0.169571877,0.317460317,0.492042962,0.145634789,0.746777067,0.262417994,0.885517728,0.350941813,0.2224185,0.343196031,1.594618947,0.74843071,0.596374292,0.323243114,0.475258237,0.569725424,1.22690441,0.418316125,1.089868012,0.333513125,0.595199216,1.197311613,0.21966731,0.755179237,0.653594771,0.318650592,0.451782679,0.789573894,0.406930953,0.802960742,0.961100849,0.261911871,0.788461371,0.529558388,0.146666667,0.334445371,0.761543138,0.257073889,0.397879211,0.221259441,0.621212752,0.392612382,0.395728232,0.363884024,1.229150899,0.183544809,0.361513839,0.89209257,0.135212818,0.982570748,0.414625272,0.232991237,0.484504219,1.192315541,0.255845779,0.277260165,0.24271635,0.32896867,0.482817664,0.183390568,0.470555987,0.102708035,1.029530648,0.220350894,0.92115614,0.373369794,0.718321432,0.188410039,0.901417344,0.683419287,0.883889437,1.093405011,0.674367526,0.152021613,1.582538995,0.144250368,0.307157858,0.21805495,0.398535905,0.320471366,0.602465646,0.143988481,0.569294481,0.842251671,0.184690981,0.783068783,1.667089571,1.515904926,0.278393693,0.639245014,0.162014174,0.583971594,0.061332492,0.364258648,0.805465948,0.142114666,0.147532018,0.237878476,0.078061304,0.151183201,0.673423654,0.104986877,0.279030655,0.017954989,0.017971688,0.000742992,0,0.028526601,0,1.428602072,1.316822577,0.896176574,0.685682539,0.675323964,0.230958378,0.51720323,0.502779339
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,X52169.1.1473,3.26590468,2.747639215,0.423856529,0.252497259,1.818913398,0.449571444,1.335419663,0.173476852,0.109979208,0.194084737,0.066973822,0.007213654,0.118438012,0.00616105,0.000998313,0.001599258,0.001930148,0.031877273,0,0.02899181,0.050610133,0,0.358977046,0.04143442,0.358087846,0.048088237,0.037738879,0.0258474,0.713841684,2.428558887,0.850194492,2.581340308,1.372968239,0.393005038,0.324952611,0.718279394,0.68128882,0.000898957,0.965871979,0.526995148,0.001771511,0.510183478,0.885264997,0.001815673,0.565892737,0.375358456,0.147020215,0.557481495,0.786192988,0.000853133,0.804960013,1.016789729,0.003636364,0.422852377,0.449033139,0.201301927,1.217695447,0.055604467,0.818808325,0.518062493,0.879250475,0.839657521,0.380337418,0,0.134626247,0.359872094,0.004048288,1.68134722,0.000846174,0.001612396,0.685824075,0.483922689,0.004958252,0.195342389,0.014683907,0,0.018914506,0.000898973,0.017360318,0,0,0,0.015225721,0,0.016941543,0,0.08307994,1.376950821,1.712788497,0.342709033,1.262507118,0,1.058275563,0.038675823,0.190378992,0.038655196,0.130048558,0.070417475,0.104749685,0,0.107545292,0.014810236,0,0.016280016,0.134483634,0.096608749,0,1.842948718,0.003465544,1.776858292,0.001752357,0.958318054,0.370674628,0.077147962,0.104289875,0.192358521,0.000867348,0.199869316,0.323061348,0.065616798,0.805239151,0,0,0,0,0,0,0.008580193,0.111043812,1.120807733,0.858199681,1.239692063,0,0.103717225,0.550663086
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802966.1.1361,0.45719215,0.469912153,0.133750283,0.141644804,0.486969441,0.133595521,0.293310865,0.101369004,1.558975347,0.494248177,1.237860995,0.45013201,0.121921483,0.337317479,0.173706436,0.175918374,0.003860296,0.455247298,0.051053898,0.53199971,0.695889333,0.028104959,0.357666911,1.147338825,0.435702946,0.905491267,1.52882608,1.389297741,0.255641934,0.370923138,0.677885657,1.093132695,0.249864764,0.11473637,0.146853584,0.168686827,0.331909938,0.052139518,0.458850425,0.234121155,0.03188719,0.316340679,0.509933346,0.037221294,0.452558937,0.309301585,0.10588956,0.362597208,0.460471716,0.021328328,0.444594958,0.791986079,0.021818182,1.094245204,0.29437802,0.112415362,0.543151388,0.122793198,0.461056339,0.382545398,0.450763284,0.5526367,0.250045506,0.013300348,1.119374882,0.123570538,0.01700281,0.254343927,0.054155138,0.018542555,0.507058725,0.276943708,0.012891454,1.131545545,0.466429997,0.195567989,0.562457691,0.011686654,0.536342455,0.01627058,0.085596082,0.020248461,0.214851845,0.032604123,0.265135151,0.021950684,0.170313876,0.345501736,0.405958369,0.130555822,0.271699341,0.013736893,0.183058925,0.162020341,1.287511531,0.786980137,0.794974252,0.846446792,0.848534434,0.026606567,1.054050873,0.197684452,0.012708095,0.301180301,0.121796498,0.093767315,0.002463661,0.375712251,0.027724351,0.316929307,0.01139032,0.447378071,0.364663688,0.514319744,0.985666501,0.499251123,0.016479609,0.730291732,0.401551605,0.103793844,0.797594475,0.000619138,0,0,0,0.004388708,0,0.012870289,0.043744532,0.259852072,0.423982807,0.809566861,0.018914695,0.674853413,0.912914038
Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),Deltaproteobacteria(undef),Deltaproteobacteria(undef),EU802925.1.1450,0.684925598,0.541745858,0.173310225,0.277131138,0.502445164,0.300214653,0.24896581,0.180792141,1.616774639,0.408599447,1.364880313,0.415506471,0.088828509,0.254143306,0.05590552,0.057573286,0,0.392488918,0,0.476915271,0.736658607,0,0.343255424,1.003304888,0.53624978,0.943347964,1.56335314,1.229187458,0.180206609,0.617839428,0.556134504,1.629108457,0.249864764,0.19518371,0.158310246,0.312886857,0.242624224,0.003595829,0.632756368,0.206525126,0.005314532,0.358070726,0.522875817,0,0.469636633,0.188844937,0.096263236,0.367281926,0.227558697,0,0.535771659,0.571885435,0.006060606,1.000834028,0.164254402,0.11851542,0.741165694,0.044020203,0.525534895,0.320594726,0.551660879,0.626581047,0.121669653,0.00354676,1.215401996,0.149585388,0.00323863,0.354742845,0.005077044,0.00403099,0.557179851,0.171996618,0.002974951,1.035224644,0.33513859,0.129515225,0.446979652,0.000898973,0.45410937,0,0.022587855,0,0.065978126,0.001051746,0.164332969,0,0.062309955,0.319378434,0.384123955,0.125755976,0.287968763,0,0.219887348,0.192333825,1.052972464,0.548110851,0.823291277,0.69267802,0.59626744,0.003130184,0.810602575,0.073407256,0,0.118844119,0.078660239,0.053987242,0.004927322,0.340099715,0,0.315462042,0.002628535,0.310475492,0.182331844,0.522440583,0.937337047,0.40233767,0.003469391,0.858413089,0.358325086,0.076354092,0.847284866,0.000619138,0.001382438,0,0.000779551,0,0.000612689,0.02895815,0.062812661,0.354557195,0.353806342,0.501356127,0,0.582199358,0.888972165
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Alphaproteobacteria(undef),AY664224.1.1233,0.419236575,0.463177744,0.53500113,0.801832761,0.372449085,0.574160525,0.558747696,0.767060299,0.361245575,0.216872014,0.379903234,0.54102405,0.132371895,0.536011336,0.692829119,0.710070527,0.018336405,0.505055536,0.032820363,0.574037834,0.442838666,0.019162472,0.449376376,0.427169141,0.472746516,0.509530679,0.437610406,0.381249147,0.372985772,0.457618191,0.368348827,0.244043946,0.49586564,0.808429826,0.393692586,0.578840686,0.363936335,0.050341604,0.402514696,0.556371567,0.038973232,0.640758141,0.399922345,0.035405621,0.447125125,0.446855304,0.184650389,0.565913989,0.304303983,0.036684725,0.463698648,0.147674364,0.032727273,0.250208507,0.238915494,0.091500876,0.465426147,0.337102081,0.452043208,0.631896852,0.394417873,0.404748005,0.209808298,0.048767944,0.348333647,0.367459758,0.038053907,0.488608069,0.033846961,0.014511565,0.540472809,0.351281229,0.017849705,0.396085951,0.39301046,0.405382653,0.317564608,0.041352775,0.319795331,0.084403632,0.379238195,0.046452351,0.30789792,0.092553639,0.307489009,0.065852052,0.372198129,0.463477938,0.473887658,0.397427282,0.505979012,0.051284399,0.389948007,0.075261062,0.511275539,0.413313246,0.498169881,0.455557951,0.384288787,0.057908411,0.441417244,0.546690878,0.038971492,0.532356532,0.502410556,0.538451703,0.174919931,0.252849003,0.083173052,0.243566042,0.017523569,0.256692336,0.362660041,0.175951492,0.311597797,0.154180494,0.026020435,0.280585771,0.332161667,0.089477452,0.402619575,0.331857722,0.257133378,0.348463122,0.328970447,0.060344733,0.450938946,0.21289603,0.353321219,0.776425469,0.606734017,0.195885044,0.049775512,0.46465317,0.321653863
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,GU940990.1.1405,0.516713392,0.454946798,0.122447442,0.05912131,0.462208283,0.089313859,0.245164805,0.038666527,1.497162215,0.392884083,1.175506057,0.3419272,0.055735535,0.201774382,0.01397638,0.019191095,0,0.342680679,0,0.423280423,0.68745431,0,0.320983125,0.933260988,0.470982537,0.712115166,1.448530593,1.099232476,0.193477638,0.417014178,0.622169028,1.322441913,0.27176013,0.063302825,0.09581936,0.130596254,0.254270186,0.002696872,0.490692358,0.168246762,0,0.298840982,0.420630298,0.003631346,0.41529851,0.223816222,0.100638838,0.358849433,0.346246174,0,0.503642726,0.77505526,0.004848485,0.996663887,0.172787099,0.101086682,0.668992255,0.009267411,0.452736525,0.291942541,0.454694359,0.630472855,0.182983493,0.007980209,1.081717191,0.11923473,0.000809658,0.269069101,0.005077044,0.000806198,0.487845627,0.171996618,0.002974951,1.014520151,0.344639942,0.098431571,0.402182137,0.001797947,0.416647631,0.002033822,0,0,0.065132252,0.001051746,0.152473889,0.000914612,0.049847964,0.301682004,0.348541946,0.074877604,0.217196779,0,0.142980936,0.165156219,1.052972464,0.595686477,0.783437687,0.633757275,0.627258471,0.004695277,0.814882984,0.065036253,0.000847206,0.081400081,0.022836843,0.024152187,0,0.375712251,0,0.312527511,0,0.325143625,0.156284438,0.464241243,0.852124588,0.449326011,0.001734696,0.684168044,0.300310548,0.069195896,0.712228933,0,0,0,0,0,0,0.000536262,0.021311439,0.165146949,0.307753037,0.719158379,0,0.481247926,0.786958966
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Alphaproteobacteria(undef),GU940771.1.1349,0.286392064,0.335223957,0.276919599,0.454495067,0.24348472,0.38577583,0.373131965,0.445187585,0.384525845,0.238087755,0.348725765,0.451574741,0.134113631,0.583759473,0.597989398,0.614115051,0.007720592,0.439308662,0.03099701,0.575487425,0.344430074,0.016607476,0.391730427,0.471563163,0.411007232,0.547387376,0.497029067,0.511922113,0.264023636,0.27764365,0.382793879,0.33429416,0.381236959,0.567087806,0.26142021,0.37478404,0.333850932,0.067421791,0.439255389,0.466461922,0.035430211,0.566720961,0.46851744,0.038129131,0.443243831,0.48027231,0.190776232,0.579968144,0.388188365,0.031565926,0.495827581,0.203169826,0.044848485,0.41117598,0.234649146,0.115901109,0.557030896,0.349844771,0.529694802,0.743408061,0.428487191,0.365829928,0.147536429,0.033694216,0.383167012,0.251476885,0.02348007,0.28312495,0.049924267,0.025798338,0.541308161,0.275486109,0.013883104,0.48520529,0.425833312,0.396316587,0.380281129,0.025171254,0.372789986,0.032541159,0.256788245,0.040496921,0.34765397,0.100967606,0.382031799,0.046645204,0.360566938,0.380894597,0.439923013,0.328309494,0.407549012,0.042126471,0.275129983,0.073170477,0.577024985,0.424215993,0.492925988,0.524538334,0.448130311,0.042257489,0.449443012,0.446238844,0.029652222,0.498168498,0.411063182,0.389276429,0.103473762,0.217236467,0.044185684,0.214220735,0.01139032,0.288473292,0.298543349,0.173244546,0.408256706,0.171801122,0.022551043,0.327990673,0.286660069,0.090670484,0.398797238,0.048292728,0.031796063,0.014116843,0.014031915,0.015360477,0.012866464,0.17106759,0.324158198,0.550228936,0.665945409,0.220541903,0.037829389,0.557307224,0.468427956
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Alphaproteobacteria(undef),FJ745117.1.1319,0.310545611,0.359916793,0.320247155,0.448336597,0.342529352,0.473588616,0.379466972,0.317692549,0.28899646,0.161868242,0.293299154,0.405407355,0.153272721,0.480561888,0.563048448,0.550144733,0.019301479,0.355630821,0.071110787,0.437776328,0.231963111,0.049822428,0.451996646,0.468603561,0.398659376,0.495206524,0.464107917,0.560026996,0.307329101,0.327026908,0.334299776,0.335215081,0.381236959,0.538074012,0.392651072,0.299283081,0.400815217,0.073714491,0.506205095,0.549250011,0.074403444,0.484606997,0.376625898,0.049931004,0.304293488,0.449186723,0.168898224,0.50782348,0.415852363,0.052041121,0.488012435,0.237972064,0.03030303,0.40617181,0.286911911,0.108058177,0.520944177,0.381122283,0.467989517,0.612537267,0.416693966,0.31134462,0.217472529,0.032807526,0.389757108,0.274239879,0.024289728,0.458488394,0.038077831,0.023379743,0.499540556,0.349823631,0.024791258,0.519412713,0.402511812,0.312131691,0.359375622,0.031464068,0.295125405,0.036608804,0.359028009,0.038114749,0.353575084,0.094657131,0.294782852,0.041157533,0.311549773,0.390164155,0.372802407,0.351348757,0.422191491,0.043042264,0.339038128,0.089895157,0.425899394,0.422233676,0.470901635,0.482862686,0.440692464,0.051648042,0.42643581,0.305219642,0.033888253,0.452584453,0.515097691,0.465995141,0.157674304,0.242165242,0.046784842,0.233295184,0.036799495,0.254247647,0.332605342,0.180011911,0.34975263,0.185016593,0.016479609,0.286991839,0.242296011,0.088284419,0.392426675,0.07305823,0.040090688,0.029719669,0.036638889,0.029623778,0.052691235,0.209142195,0.503622945,0.761554416,0.598692963,0.204103997,0.034842859,0.510288749,0.495492682
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Alphaproteobacteria(undef),Alphaproteobacteria(undef),AM747321.1.1243,0.339012292,0.410799,0.433275563,0.58628632,0.331180488,0.460078956,0.464356078,0.645835511,0.300235211,0.168940156,0.329095507,0.429933779,0.202041314,0.486722938,0.583014705,0.69247869,0.021231627,0.51003636,0.063817373,0.440675509,0.334589214,0.033214952,0.390420291,0.364030977,0.336920092,0.454280365,0.381403565,0.406378564,0.300344348,0.400553092,0.360094512,0.264304198,0.388964736,0.710837971,0.388485013,0.448924621,0.352290373,0.07101762,0.347811888,0.462010949,0.060231359,0.495376042,0.375331651,0.065364224,0.346211468,0.43286679,0.205653277,0.484399888,0.382834043,0.064838118,0.382073792,0.223863048,0.047272727,0.293577982,0.248514778,0.105443866,0.480230955,0.326676243,0.357751986,0.521160026,0.313175654,0.239346176,0.209808298,0.053201394,0.274901149,0.376131375,0.046960141,0.416990174,0.053308964,0.031441724,0.481998162,0.279858904,0.03371611,0.298864854,0.366233923,0.378184456,0.320551109,0.058433269,0.314313125,0.061014674,0.337628989,0.067891897,0.299439186,0.130416491,0.355772407,0.07957123,0.267517405,0.386793407,0.371993725,0.357108573,0.501098186,0.066852878,0.316291161,0.08675928,0.314027203,0.318161995,0.433145602,0.425379033,0.329744572,0.05008295,0.315145159,0.264008551,0.053373999,0.393976394,0.461811723,0.417690767,0.167528948,0.252849003,0.092703297,0.220089797,0.017523569,0.232245447,0.284517822,0.16647718,0.319228764,0.117470853,0.045969435,0.266492422,0.305998248,0.09305655,0.380959662,0.255084667,0.215660252,0.208037685,0.209699171,0.043887079,0.27203382,0.191445548,0.296116832,0.421085587,0.434216875,0.21232295,0.050771023,0.402422834,0.334145275
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Alphaproteobacteria(undef),EU802283.1.1251,0.270002157,0.345699705,0.186496873,0.306691793,0.18880383,0.286704994,0.295211368,0.313512384,0.319501642,0.220015087,0.337178555,0.336156277,0.160239663,0.417411127,0.551068694,0.642901694,0.037637885,0.388504259,0.105754504,0.498659129,0.268514874,0.063874907,0.339325018,0.557391605,0.373963662,0.62821654,0.407901076,0.565770863,0.282183992,0.250208507,0.415811141,0.3002201,0.226681435,0.337615066,0.181223572,0.297922703,0.377523292,0.182488314,0.369039843,0.347175858,0.116919697,0.386339467,0.28732285,0.088060135,0.282558239,0.334170054,0.207403518,0.377588307,0.5166921,0.085313313,0.471513794,0.298170531,0.042424242,0.433694746,0.302910716,0.096729497,0.444144236,0.348686344,0.444416712,0.552135362,0.323658521,0.394045534,0.251961564,0.051428014,0.36998682,0.186439759,0.039673222,0.226901556,0.13454167,0.049178081,0.503717317,0.355654024,0.045615914,0.497808024,0.329092275,0.312131691,0.386254131,0.037756882,0.434007949,0.041693361,0.21280137,0.050025608,0.422936703,0.118847286,0.459962898,0.064022829,0.409584102,0.370782351,0.456096654,0.258231737,0.359554218,0.046705435,0.203639515,0.082578109,0.454358109,0.433136423,0.447828504,0.409571028,0.415899639,0.042257489,0.482616186,0.518358253,0.055915618,0.408628409,0.312103527,0.252887607,0.071446169,0.224358974,0.068444491,0.23769698,0.014895034,0.26891578,0.424773087,0.213848736,0.475663576,0.24668879,0.026020435,0.216525093,0.360600166,0.077547125,0.352929185,0.11825527,0.069121876,0.11144876,0.14187825,0.016457654,0.172165549,0.116905125,0.234425825,0.504050405,0.652787321,0.372592532,0.057739594,0.566987499,0.424708013
